Sacramento Mountains Salamander
Sad-colored Anaides
Wandering Salamander
Hewitt’s Moss Frog
Mistbelt Chirping Frog
Rattray's Forest Frog
Boulenger's Climbing Frog
Mountain Climbing Frog
Black-throated Climbing Frog
Madagascar Climbing Frog
Sapito Niñera de Ayarzagüena
Beebe's Rocket Frog
Degranville's Rocket Frog
Sapito Niñera de Guanay
Kaie Rock Frog
Leopard Rocket Frog
Sarisariñama Rocket Frog
Murisipan rocket frog
Parima Rocket Frog
Sapito Niñera de Parker
Sapito Niñera De Praderio
Sapito Ninera Del Roraima
Sira Poison Frog
Sapito Niñera de Shreve
Stephen's Rocket Frog
Suriname Rocket Frog
Sapito Niñera del Tamacuari
Sapito Niñera del Auyan-Tepui
Whitebelly Stream Toad
Montane Slender Toad
Kodok-langsing
Mesilau Stream Toad
Kadamaian Stream Toad
Sukumaran's dwarf toad
Cave-dwelling Stream-toad
Golden Rock Slender Toad
Bornean Rainbow Toad
Latiff’s Torrent-Dwelling Toad
Matang Stream Toad
Long-fingered Stream Toad
Mcgregor's Toad
Minute Slender Toad
Mueller’s Toad
Penang Stream Toad
Siamese Stream Toad
Precious Stream-Toad
Kina Balu Stream Toad
Thin Thin’s Stream Toad
Pulo Tioman Stream Toad
Gunung Mulu Stream Toad
Murud Black Slender Toad
Bokermann's Casque-headed Frog
Bruno's Casque-headed Frog
Venezuela Casque-headed Frog
Myola Guinea Frog
Camiguin Cross Frog
Scratchley Guinea Frog
Guest House Guinea Frog
Coffee Grove Salamander
Chunky False Brook Salamander
Galeana False Brook Salamander
Admirable False Brook Salamander
Cuetzalan Salamander
Tamaulipan False Brook Salamander
Sandhill Frog
Red-spotted Argentina Frog
Mebebque Frog
White-dotted Rocket Frog
Las Escaleras’ Skunk Frog
Capurí Rocket Frog
La Culata Rocket Frog
Haydee's Rocket Frog
Mucubají Skunk Frog
Mayorga Rocket Frog
Merida Mist Frog
Molinari's Rocket Frog
Skunk Frog
Ornate Skunk Frog
Tachira Rocket Frog
Forest Rocket Frog
Sierra Rocket Frog
Perija’s Nurse Frog
Arp's Rocket Frog
Mucuchíes Skunk Frog
Bainskloof Moss Frog
Drewes’ Moss Frog
Landdros Moss Frog
Lightfoot’s Moss Frog
Rough Moss Frog
Northern Moss Frog
De Villier’s Moss Frog
Du Toit's Torrent Frog
Usambara Torrent Frog
Adolf Friedrich's Squeaker Frog
Freetown Long-fingered Frog
Bioko Squeaker Frog
Cambondo Screeching Frog
Guinea Screeching Frog
Hidden Squeaker Frog
Beautiful Squeaker
France's Squeaker
Tiny Squeaker Frog
Krokosua Squeaking Frog
Overlooked Squeaker Frog
Nike's Squeaker
Problem Squeaker Frog
Perret's Squeaker Frog
Reiche's Squeaker
Kivu Dwarf Litter Frog
Common Squeaker
Tanzania Screeching Frog
Sinkhole squeaker
Rainforest Screeching Frog
Variable Squeaker Frog
Bush Squeaker
Plain Squeaker
Eastern Squeaker
Rocky Mountain Tailed Frog
American Bell Toad
Hip-pocket Frog
Danowaria Callulops Frog
Slater's Callulops Frog
New Guinea Bush Frog
Benito River Night Frog
Victoria Night Frog
Fopouanga Night Frog
Laurent's Night Frog
Mountain Night Frog
Nganha Night Frog
Perret's Night Frog
Central Night Frog
Cameroon Range Night Frog
Apouh Night Frog
Rio Negro Frog
Patagonia Frog
Zapala Frog
Laguna Raimunda Frog
Portezuelo Frog
Las Bayas Frog
Starry Night Harlequin Toad
Arthur's Stubfoot Toad
Rio Pescado Stubfoot Toad
Azuay Stubfoot Toad
Boulenger's Stubfoot Toad
Rio Carauta Stubfoot Toad
La Carbonera Stubfoot Toad
Guajira Stubfoot Toad
Toad Mountain Harlequin Frog
