Golden-tailed Sapphire
Violet-crowned Hummingbird
Turquoise-fronted Amazon
White-fronted Parrot
Orange-winged Amazon
Red-necked Parrot
Yellow-naped Parrot
Red-lored Amazon
Yellow-shouldered Amazon
Northern Festive Amazon
Yellow-billed Amazon
Diademed Amazon
Blue-cheeked Amazon
Southern Mealy Amazon
Festive Parrot
Lilac-crowned Parrot
Caribbean Amazon
Lilacine Amazon
Yellow-crowned Amazon
Yellow-headed Parrot
Red-crowned Amazon
Yellow-lored Parrot
Yellow-billed Cacique
Yellow-fronted Bowerbird
Vogelkop Bowerbird
MacGregor's Bowerbird
Streaked Bowerbird
Grosbeak Weaver
Scarlet-headed Blackbird
Yellow-browed Sparrow
Grassland Sparrow
Grasshopper Sparrow
Bar-tailed Lark
Desert Lark
Rufous-tailed Lark
Gray's Lark
Grey-bellied Antbird
Saltmarsh Sparrow
Seaside Sparrow
Golden-crested Myna
Scaled Fruiteater
Red-crested Cotinga
Chestnut-crested Cotinga
Grey-headed Antbird
Black-throated Sparrow
Five-striped Sparrow
Kalkadoon Grasswren
Grey Grasswren
Carpentarian Grasswren
Eyrean Grasswren
Black Grasswren
Short-tailed Grasswren
Thick-billed Grasswren
Dusky Grasswren
Striated Grasswren
Western Grasswren
White-throated Grasswren
White-browed Foliage-gleaner
Ochre-breasted Foliage-gleaner
Rufous-tailed Foliage-gleaner
Montane Foliage-gleaner
Scaly-throated Foliage-gleaner
Príncipe Sunbird
Newton's Yellow-breasted Sunbird
Reichenbach's Sunbird
Crested Foliage-gleaner
White-collared Foliage-gleaner
Ash-breasted Tit-tyrant
Juan Fernandez Tit-Tyrant
Yellow-billed Tit-Tyrant
Marañón Tit-tyrant
Tufted Tit-Tyrant
Pied-crested Tit-tyrant
Red Weaver
Northern Red-headed Weaver
Southern Red-headed Weaver
Auckland Teal
Green-winged Teal
Eurasian Teal
Campbell Island Teal
Common Mallard
Black Duck
Chestnut-winged Hookbill
Sombre Bulbul
Papuan Whipbird
African Darter
Bolivian Mountain-tanager
Fire-bellied Mountain-tanager
Lacrimose Mountain Tanager
Scarlet-bellied Mountain-tanager
Santa Marta Mountain Tanager
Black-chinned Mountain Tanager
Blue-winged Mountain-tanager
Glaucous Macaw
Indigo Macaw
Cuckoo Finch
Gray Noddy
Blue Noddy
Greylag Goose
Snow Goose
Bar-headed Goose
White-gorgeted Flycatcher
Rufous-browed Flycatcher
Orange-breasted Sunbird
Tolima Blossomcrown
Santa Marta Blossomcrown
Red Wattlebird
Little Wattlebird
Western Wattlebird
Yellow Wattlebird
New Zealand Bellbird
Grey Penduline-tit
Yellow-fronted Penduline Tit
Southern Penduline-Tit
Mouse-coloured Penduline-tit
Yellow Penduline-Tit
Sudan Penduline Tit
Buff-bellied Penduline-Tit
Palawan Hornbill
Green-breasted Mango
Anchieta's Sunbird
Violet-tailed Sunbird
Mangrove Sunbird
Grey-throated Sunbird
Western Violet-backed Sunbird
Brown-throated Sunbird
Uluguru Violet-backed Sunbird
Kenya Violet-backed Sunbird
Yellow-chinned Sunbird
Plain-backed Sunbird
Red-throated Sunbird
Banded Green Sunbird
Little Green Sunbird
Plain Sunbird
Grey-chinned Sunbird
Stanley Crane
South Georgia Pipit
Berthelot's Pipit
Paramo Pipit
Short-tailed Pipit
Little Tawny Pipit
Pampas Pipit
African Pipit
Correndera Pipit
Yellow-tufted Pipit
Short-billed Pipit
Alpine Pipit
Hellmayr's Pipit
